StockNumber,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
SPY3460,02/10/2023,418.2578789,420.19908,416.1402131,418.9343567,83798600,0,0,0
PG3460,02/10/2023,139.5263829,140.3166347,138.6783106,139.9215088,5153800,0,0,
JNJ3460,02/10/2023,148.2669006,148.2669006,146.2635604,148.0093231,7259700,0,0,
SPY3459,29/09/2023,423.2088569,423.3853216,417.561749,419.1009827,115078500,0,0,0
PG3459,29/09/2023,141.2225176,141.4441822,139.5649445,140.5671997,6675100,0,0,
JNJ3459,29/09/2023,150.1271313,150.3465562,148.2001111,148.5816956,7679900,0,0,
SPY3458,28/09/2023,417.1401532,421.8166454,416.5420943,420.1205444,92258300,0,0,0
PG3458,28/09/2023,142.4560759,142.6102588,140.3937157,141.0297699,6237100,0,0,
JNJ3458,28/09/2023,150.2511587,150.6899939,149.0300711,149.6596985,7861900,0,0,
SPY3457,27/09/2023,418.7186285,419.2872767,414.012725,417.6990051,104705800,0,0,0
PG3457,27/09/2023,143.9980095,144.267848,141.3092564,141.9934845,5403700,0,0,
JNJ3457,27/09/2023,151.2814499,151.4531585,148.114244,149.8791046,10211600,0,0,
SPY3456,26/09/2023,420.6793904,421.3950925,416.6891594,417.5323181,96168400,0,0,0
PG3456,26/09/2023,144.5376966,144.9039123,143.3908756,143.9016571,6366500,0,0,
JNJ3456,26/09/2023,152.454852,152.7124295,151.548578,151.7012177,4904800,0,0,
SPY3455,25/09/2023,420.757855,423.797068,420.3166634,423.7578735,70874500,0,0,0
PG3455,25/09/2023,145.6941439,145.7905211,144.5762479,145.1930237,5527000,0,0,
JNJ3455,25/09/2023,152.7028816,152.9795281,151.4245432,152.8841248,6722500,0,0,
SPY3454,22/09/2023,423.9735461,425.5911984,421.5617431,421.9833374,100829700,0,0,0
PG3454,22/09/2023,146.9084295,147.7757654,145.8868959,146.0796356,6327000,0,0,
JNJ3454,22/09/2023,153.8762816,153.9716704,152.8746042,153.1130981,4976700,0,0,
SPY3453,21/09/2023,427.1598433,427.4245403,422.7774587,422.9343262,103976100,0,0,0
